252.43 KBytes/sec
514.04 KBytes/sec
1034.11 KBytes/sec
2065.84 KBytes/sec
4075.32 KBytes/sec
8272.79 KBytes/sec
16306.64 KBytes/sec
32239.33 KBytes/sec
62584.13 KBytes/sec
118564.60 KBytes/sec
228225.34 KBytes/sec
384023.74 KBytes/sec
468995.49 KBytes/sec
719362.82 KBytes/sec
933890.57 KBytes/sec
1045908.06 KBytes/sec
992143.47 KBytes/sec
1162795.39 KBytes/sec
1241947.22 KBytes/sec
1137742.55 KBytes/sec
1072337.39 KBytes/sec
987452.99 KBytes/sec
863291.20 KBytes/sec
680366.81 KBytes/sec
497899.74 KBytes/sec
