324.98 KBytes/sec
649.60 KBytes/sec
1289.89 KBytes/sec
2566.11 KBytes/sec
5160.11 KBytes/sec
10164.69 KBytes/sec
20478.02 KBytes/sec
40547.76 KBytes/sec
77538.14 KBytes/sec
146753.18 KBytes/sec
267658.85 KBytes/sec
436281.76 KBytes/sec
657209.87 KBytes/sec
538697.30 KBytes/sec
473675.17 KBytes/sec
586485.65 KBytes/sec
507832.76 KBytes/sec
369820.83 KBytes/sec
363187.10 KBytes/sec
335977.44 KBytes/sec
321258.17 KBytes/sec
309917.60 KBytes/sec
295688.84 KBytes/sec
271485.96 KBytes/sec
230896.02 KBytes/sec
320.57 KBytes/sec
636.68 KBytes/sec
1280.54 KBytes/sec
2569.62 KBytes/sec
5180.73 KBytes/sec
10276.37 KBytes/sec
20447.56 KBytes/sec
40260.99 KBytes/sec
77790.23 KBytes/sec
147443.48 KBytes/sec
287423.98 KBytes/sec
436296.65 KBytes/sec
627330.57 KBytes/sec
534041.02 KBytes/sec
479349.97 KBytes/sec
497866.09 KBytes/sec
438020.38 KBytes/sec
381007.76 KBytes/sec
343859.95 KBytes/sec
337201.59 KBytes/sec
322520.02 KBytes/sec
416029.84 KBytes/sec
351724.39 KBytes/sec
289448.24 KBytes/sec
227716.89 KBytes/sec
