246.15 KBytes/sec
488.44 KBytes/sec
973.74 KBytes/sec
1969.40 KBytes/sec
3843.63 KBytes/sec
7596.76 KBytes/sec
15344.78 KBytes/sec
29468.21 KBytes/sec
58357.60 KBytes/sec
107140.10 KBytes/sec
192346.56 KBytes/sec
270749.35 KBytes/sec
467058.20 KBytes/sec
424322.07 KBytes/sec
679060.94 KBytes/sec
787060.72 KBytes/sec
821805.40 KBytes/sec
917639.59 KBytes/sec
870169.70 KBytes/sec
613187.06 KBytes/sec
690761.63 KBytes/sec
645197.45 KBytes/sec
589234.09 KBytes/sec
455200.16 KBytes/sec
381745.97 KBytes/sec
