333.82 KBytes/sec
673.91 KBytes/sec
1354.11 KBytes/sec
2663.56 KBytes/sec
5341.99 KBytes/sec
10495.36 KBytes/sec
21073.13 KBytes/sec
42604.98 KBytes/sec
80049.57 KBytes/sec
153545.41 KBytes/sec
271634.34 KBytes/sec
549720.39 KBytes/sec
690169.24 KBytes/sec
523153.46 KBytes/sec
491438.41 KBytes/sec
467694.24 KBytes/sec
468341.15 KBytes/sec
366610.59 KBytes/sec
362118.74 KBytes/sec
334167.08 KBytes/sec
313010.00 KBytes/sec
307112.81 KBytes/sec
297853.95 KBytes/sec
270163.97 KBytes/sec
230938.34 KBytes/sec
