238.08 KBytes/sec
479.50 KBytes/sec
947.91 KBytes/sec
1893.48 KBytes/sec
3780.56 KBytes/sec
7440.82 KBytes/sec
14909.63 KBytes/sec
29615.26 KBytes/sec
53860.31 KBytes/sec
108559.58 KBytes/sec
186387.80 KBytes/sec
256549.77 KBytes/sec
360168.13 KBytes/sec
459772.86 KBytes/sec
640972.86 KBytes/sec
627775.12 KBytes/sec
616986.52 KBytes/sec
963437.20 KBytes/sec
619742.22 KBytes/sec
587531.83 KBytes/sec
670214.57 KBytes/sec
592410.60 KBytes/sec
543565.05 KBytes/sec
497081.51 KBytes/sec
323046.53 KBytes/sec
