269.22 KBytes/sec
537.59 KBytes/sec
1077.52 KBytes/sec
2164.66 KBytes/sec
4331.71 KBytes/sec
8476.80 KBytes/sec
17070.11 KBytes/sec
34391.45 KBytes/sec
65235.76 KBytes/sec
126024.19 KBytes/sec
218219.68 KBytes/sec
432392.41 KBytes/sec
453846.99 KBytes/sec
950683.54 KBytes/sec
918142.93 KBytes/sec
1153130.54 KBytes/sec
1012785.65 KBytes/sec
1076372.97 KBytes/sec
1170765.90 KBytes/sec
1294536.65 KBytes/sec
1079929.60 KBytes/sec
993387.88 KBytes/sec
860721.88 KBytes/sec
668733.03 KBytes/sec
492909.76 KBytes/sec
